title,content,tags,postId,score
"How do you find out which version of GTK+ is installed on Ubuntu?","I need to determine which version of GTK+ is installed on Ubuntu Man does not seem to help","linux,ubuntu,gtk,gnome","126141","111"
"Problem with .net app under linux, doesn't work from shell script","I'm working on a .net post-commit hook to feed data into OnTime via their Soap SDK. My hook works on Windows fine, but on our production RHEL4 subversion server, it won't work when called from a shell script. #!/bin/sh /usr/bin/mono $1/hooks/post-commit.exe ""$@"" When I execute it with parameters from the command line, it works properly. When executed via the shell script, I get the following error: (looks like there is some problem with the process execution of SVN that I use to get the log data for the revision): Unhandled Exception: System.InvalidOperationException: The process must exit before getting the requested information. at System.Diagnostics.Process.get_ExitCode () [0x0003f] in /tmp/monobuild/build/BUILD/mono-1.9.1/mcs/class/System/System.Diagnostics/Process.cs:149 at (wrapper remoting-invoke-with-check) System.Diagnostics.Process:get_ExitCode () at SVNLib.SVN.Execute (System.String sCMD, System.String sParams, System.String sComment, System.String sUserPwd, SVNLib.SVNCallback callback) [0x00000] at SVNLib.SVN.Log (System.String sUrl, Int32 nRevLow, Int32 nRevHigh, SVNLib.SVNCallback callback) [0x00000] at SVNLib.SVN.LogAsString (System.String sUrl, Int32 nRevLow, Int32 nRevHigh) [0x00000] at SVNCommit2OnTime.Program.Main (System.String[] args) [0x00000] I've tried using mkbundle and mkbundle2 to make a stand alone that could be named post-commit, but I get a different error message: Unhandled Exception: System.ArgumentNullException: Argument cannot be null. Parameter name: Value cannot be null. at System.Guid.CheckNull (System.Object o) [0x00000] at System.Guid..ctor (System.String g) [0x00000] at SVNCommit2OnTime.Program.Main (System.String[] args) [0x00000] Any ideas why it might be failing from a shell script or what might be wrong with the bundled version? Edit: @Herms, I've already tried it with an echo, and it looks right. As for the $1/hooks/post-commit.exe, I've tried the script with and without a full path to the .net assembly with the same results. Edit: @Leon, I've tried both $1 $2 and ""$@"" with the same results. It is a subversion post commit hook, and it takes two parameters, so those need to be passed along to the .net assembly. The ""$@"" was what was recommended at the mono site for calling a .net assembly from a shell script. The shell script is executing the .net assembly and with the correct parameters, but it is throwing an exception that does not get thrown when run directly from the command line. Edit: @Vinko, I don't see any differences in the environment other than things like BASH_LINENO and BASH_SOURCE Edit: @Luke, I tired it, but that makes no difference either. I first noticed the problem when testing from TortoiseSVN on my machine (when it runs as a sub-process of the subversion daemon), but also found that I get the same results when executing the script from the hooks directory (i.e. ./post-commit REPOS REV, where post-commit is the above sh script. Doing mono post-commit.exe REPOS REV works fine. The main problem is that to execute, I need to have something of the name post-commit so that it will be called. But it does not work from a shell script, and as noted above, the mkbundle is not working with a different problem.",".net,linux,svn,mono","54503","1"
"Why is ARG_MAX not defined via limits.h?","On Fedora Core 7, I'm writing some code that relies on ARG_MAX. However, even if I #include , the constant is still not defined. My investigations show that it's present in , but this is supposed to be portable across Win32/Mac/Linux, so directly including it isn't an option. What's going on here?","linux,limits","46714","12"
"Fast Disk Cloning","Is there a way to have Linux read ahead when cloning a disk? I use the program named ""dd"" to clone disks. The last time I did this it seemed as though the OS was reading then writing but never at the same time. Ideally, the destination disk would be constantly writing without waiting that's of course if the source disk can keep up. UPDATE: I normally choose a large block size when cloning (ex. 16M or 32MB).","linux,storage,dd,parallel-io","54612","7"
"Where to find gdb for an arm target running on linux 2.6.21.5-cfs-v19","I have a ARM11 based hardware board which runs a Linux kernel ver. 2.6.21.5-cfs-v19. I have my application running on this ARM-LINUX board. To do source level debugging, of my application I used to use gdb from command prompt of the linux board, that was with some earlier version of the board linux version. With this version 2.6.21.5-cfs-v19, I dont have a related version of gdb for the board. I tried to look around to get gdb for this version of linux and arm port of it, but without much success. Can anyone point me where I can get either an independant executable for gdb for above mentioned os and board configuration or source for the same, which I may try compiling for that target. -AD.","linux,gdb,arm","51501","0"
"Is the mono .NET project included in latest release of most popular linux distros?","I'm wondering if mono.net is included in the default installation of Ubuntu, Kubuntu, and Fedora, and other popular distros? If so, does anyone have a good reason why NOT to use it to develop a new GUI application targeted mainly for linux?",".net,linux,mono","144277","10"
"What is the location of OpenOffice.org templates in Linux?","I'd like to install some presentation templates, but don't know where to put them... Thanks a lot","linux,debian,openoffice.org","80515","2"
"Does the Gentoo install CD contain everything for C++ development?","I'd like to install Gentoo. I need it to develop GUI C++ applications using wxWidgets, so I need: build tools: make, automake, autoconf, etc. C++ compiler (GCC) X Window System for testing (Fluxbox or something minimal would be enough) Now, I have two options: download the small network installer (57MB) do a network install download the 600MB CD I'd like to download as less as possible and still have all the tools above. I also don't understand whether the network installer will first prompt me for the packages I want, or it will fetch 600 MB of data anyway? I might want to install it on other computers later, so I'd go with 'full' install from CD if the network install does not save me anything.","linux,installation,gentoo","94486","2"
"Can you recommend a PostgreSQL Visual Database Designer for Linux?","When I'm in Windows, I use the excellent MicroOLAP Database Designer for PostgreSQL, but its not open source or multiplataform. Do you know or can recommend me an alternative to this software, that I can use in Linux? EDIT: Just to clarify, I don't want to use wine to emulate MicroOlap for PostgreSQL, it doesn't work too well, I would prefer something native, or Java based.","linux,database-design,postgresql,olap","144487","7"
"#defines in linker scripts","For an embedded system I need to place a few data structures at fixed addresses, so that a separate control CPU can access them at a known location. I'm using linker scripts for the embedded target to accomplish this, plus #defines of those same addresses for the control CPU. It bothers me that these address constants are therefore defined in two places, the linker script and a header file. I'd like to have just one. The best solution I've come up with so far is to have the Makefile run cpp on the linker script, allowing it to #include the same header. Is there a better way to accomplish this? Is there some little-known option to ld or a naming convention for the linker script which will automatically run it through cpp?","linux,linker","139373","1"
"How can you get more information about processes when Linux runs out of memory?","I had recently a problem with oom-killer starting to kill processes after some time. I could see that the memory was consumed, but by the time I got to the server it wasn't clear anymore what consumed it. Is there a good non-obvious place to get more info about oom-killer? E.g. detailed info about processes at the time of activation, detailed info about killed processes and reasons for the choice? I'm looking for a specific place to find this information, specific tool to gather it or some configuration to improve oom-killer reporting. I'm not looking for generic info about oom-killer. /var/messages by default will only contain a detailed report on the free/allocated memory, but not specific processes it was allocated to.","linux,memory-leaks","120000","1"
"Why do discussions of ""swappiness"" act like information can only be in one place at a time?","I've been reading up on Linux's ""swappiness"" tuneable, which controls how aggressive the kernel is about swapping applications' memory to disk when they're not being used. If you Google the term, you get a lot of pages like this discussing the pros and cons. In a nutshell, the argument goes like this: If your swappiness is too low, inactive applications will hog all the system memory that other programs might want to use. If your swappiness is too high, when you wake up those inactive applications, there's going to be a big delay as their state is read back off the disk. This argument doesn't make sense to me. If I have an inactive application that's using a ton of memory, why doesn't the kernel page its memory to disk AND leave another copy of that data in-memory? This seems to give the best of both worlds: if another application needs that memory, it can immediately claim the physical RAM and start writing to it, since another copy of it is on disk and can be swapped back in when the inactive application is woken up. And when the original app wakes up, any of its pages that are still in RAM can be used as-is, without having to pull them off the disk. Or am I missing something?","linux,memory,operating-system,performance","147125","4"
"Know of an OCaml IDE?","Know of an OCAML/CAML IDE? Especially one that runs on Linux?","linux,ide,ocaml,typerex","118935","25"
"How to set my application's desktop icon for Linux: KDE, Gnome etc?","I have a cross platform program that runs on Windows, Linux and Macintosh. My windows version has an Icon but I don't know how to make have one for my Linux build. Is there a standard format for KDE, Gnome etc. or will I have to do something special for each one? My app is in c++ and distributed as source so the end user will compile it with gcc. If I can have the icon embedded directly inside my exe binary that would be the best.","linux,icons,gnome,kde-plasma","119031","13"
"Linux-based solution for domain management?","Using any member of the Windows Server family, I can set up an active directory, and have a single pool of users for a large scale of computers; access can be given / removed for any shared resources in the given domain (including access to client computers, etc). What similar (and widespread) solutions exist for managing a multi-user, multi-computer environment using Linux? What are their advantages/disadvantages? And how can they interoperate with Windows?","linux,active-directory,system-administration","130327","3"
"How to overcome an incompatibility between the ksh on Linux vs. that installed on AIX/Solaris/HPUX?","I am involved in the process of porting a system containing several hundreds of ksh scripts from AIX, Solaris and HPUX to Linux. I have come across the following difference in the way ksh behaves on the two systems: #!/bin/ksh flag=false echo ""a\nb"" | while read x do flag=true done echo ""flag = ${flag}"" exit 0 On AIX, Solaris and HPUX the output is ""flag = true"" on Linux the output is ""flag = false"". My questions are: Is there an environment variable that I can set to get Linux's ksh to behave like the other Os's'? Failing that: Is there an option on Linux's ksh to get the required behavior? Failing that: Is there a ksh implementation available for Linux with the desired behavior? Other notes: On AIX, Solaris and HPUX ksh is a variant of ksh88. On Linux, ksh is the public domain ksh (pdksh) On AIX, Solaris and HPUX dtksh and ksh93 (where I have them installed) are consistent with ksh The Windows NT systems I have access to: Cygwin and MKS NT, are consistent with Linux. On AIX, Solaris and Linux, bash is consistent, giving the incorrect (from my perspective) result of ""flag = false"". The following table summarizes the systems the problem: uname -s uname -r which ksh ksh version flag = ======== ======== ========= =========== ====== Linux 2.6.9-55.0.0.0.2.ELsmp /bin/ksh PD KSH v5.2.14 99/07/13.2 false AIX 3 /bin/ksh Version M-11/16/88f true // AIX 5.3 /bin/ksh93 Version M-12/28/93e true SunOS 5.8, 5.9 and 5.10 /bin/ksh Version M-11/16/88i true /usr/dt/bin/dtksh Version M-12/28/93d true HP-UX B.11.11 and B.11.23 /bin/ksh Version 11/16/88 true /usr/dt/bin/dtksh Version M-12/28/93d true CYGWIN_NT-5.1 1.5.25(0.156/4/2) /bin/ksh PD KSH v5.2.14 99/07/13.2 false Windows_NT 5 .../mksnt/ksh.exe Version 8.7.0 build 1859... false // MKS Update After some advice from people in my company we decided to make the following modification to the code. This gives us the same result whether using the ""real"" ksh's (ksh88, ksh93) or any of the ksh clones (pdksh, MSK ksh). This also works correctly with bash. #!/bin/ksh echo ""a\nb"" > junk flag=false while read x do flag=true done Thanks to jj33 for the previously accepted answer.","linux,solaris,ksh,aix","74372","6"
"Specify the from user when sending email using the mail command","Does anyone know how to change the from user when sending email using the mail command? I have looked through the man page and can not see how to do this. We are running Redhat Linux 5.","linux,email,redhat","119390","72"
"GODI installation issue","I'm trying to install GODI on linux (Ubuntu). It's a library management tool for the ocaml language. I've actually installed this before --twice, but awhile ago-- with no issues --that I can remember-- but this time I just can't figure out what I'm missing. $ ./bootstrap --prefix /home/nlucaroni/godi $ ./bootstrap_stage2 .: 1: godi_confdir: not found Error: Command fails with code 2: /bin/sh Failure! I had added the proper directories to the path, and they show up with a quick echo $path, and godi_confdir reported as being: /home/nlucaroni/godi/etc (...and the directory exists, with the godi.conf file present). So, I can't figure out why ./bootstrap_stage2 isn't working.","linux,ocaml,godi","47309","7"
"How to set up a Subversion (SVN) server on GNU/Linux - Ubuntu","I have a laptop running Ubuntu that I would like to act as a Subversion server. Both for myself to commit to locally, and for others remotely. What are the steps required to get this working? Please include steps to: Get and configure Apache, and necessary modules (I know there are other ways to create a SVN server, but I would like it Apache-specific) Configure a secure way of accessing the server (SSH/HTTPS) Configure a set of authorised users (as in, they must authorised to commit, but are free to browse) Validate the setup with an initial commit (a ""Hello world"" of sorts) These steps can involve any mixture of command line or GUI application instructions. If you can, please note where instructions are specific to a particular distribution or version, and where a users' choice of a particular tool can be used instead (say, nano instead of vi).","linux,svn,ubuntu,debian","60736","96"
"Learning kernel hacking and embedded development at home?","I was always attracted to the world of kernel hacking and embedded systems. Has anyone got good tutorials (+easily available hardware) on starting to mess with such stuff? Something like kits for writing drivers etc, which come with good documentation and are affordable? Thanks!","linux,kernel,embedded","60763","37"
"Licensing and using the Linux kernel","I would like to write my own OS, and would like to temporarily jump over the complicated task of writing the kernel and come back to it later by using the Linux kernel in the mean time. However, I would like to provide the OS as closed source for now. What license is the Linux kernel under and is it possible to use it for release with a closed source OS? Edit: I am not interested in closing the source of the Linux kernel, I would still provide that as open sourced. I am wondering if I could use a closed source OS with an open source kernel. Further edit: By OS, I mean the system that runs on top of the kernel and is used to launch other programs. I certainly did not mean to include the kernel in the closed source statement.","linux,licensing,operating-system,kernel","117055","4"
"How can I measure the actual memory usage of an application or process?","How do you measure the memory usage of an application or process in Linux? From the blog article of Understanding memory usage on Linux, ps is not an accurate tool to use for this intent. Why ps is ""wrong"" Depending on how you look at it, ps is not reporting the real memory usage of processes. What it is really doing is showing how much real memory each process would take up if it were the only process running. Of course, a typical Linux machine has several dozen processes running at any given time, which means that the VSZ and RSS numbers reported by ps are almost definitely wrong. (Note: This question is covered here in great detail.)","linux,memory,process","131303","905"
"Linking against a specific shared library version in linux","My build process consists of Qt's qmake Makefile generator and the typical make utility bundled with linux. My application consists of a few shared libraries and the main application is linked against them. How can I apply the typical linux versioning scheme on my libraries? (Use version 2 -> link against foo.so.2 that points to foo.so.2.y.z with an ldconfig generated link). The answer doesn't have to be specific for my build process.","linux,build-process,linker","171676","4"
"Adding a new application group in linux","How can I, in Java or using some other programming language, add a new program group in the applications menu in both KDE and Gnome? I am testing with Ubuntu and Kubuntu 8. Putting a simple .menu file in ~/.config/menus/applications-merged worked in Kubuntu, but the same procedure does nothing in Ubuntu. The content of my file is as follows: My Program Group shortcut.desktop Note that the .desktop file is correctly placed in ~/.local/share/applications. Ps: The original question did not specify I wanted a solution in a programmatic way.","linux,ubuntu,installation,menu","174069","1"
"How do you do ALSA in Mono?","Does anyone know how to access ALSA (low-level audio API) in Linux using Mono? NOTE: I'm hoping to access ALSA using PInvoke.",".net,linux,mono,ffi,alsa","172321","3"
"Microsecond accurate (or better) process timing in Linux","I need a very accurate way to time parts of my program. I could use the regular high-resolution clock for this, but that will return wallclock time, which is not what I need: I needthe time spent running only my process. I distinctly remember seeing a Linux kernel patch that would allow me to time my processes to nanosecond accuracy, except I forgot to bookmark it and I forgot the name of the patch as well :(. I remember how it works though: On every context switch, it will read out the value of a high-resolution clock, and add the delta of the last two values to the process time of the running process. This produces a high-resolution accurate view of the process' actual process time. The regular process time is kept using the regular clock, which is I believe millisecond accurate (1000Hz), which is much too large for my purposes. Does anyone know what kernel patch I'm talking about? I also remember it was like a word with a letter before or after it -- something like 'rtimer' or something, but I don't remember exactly. (Other suggestions are welcome too) The Completely Fair Scheduler suggested suggested by Marko is not what I was looking for, but it looks promising. The problem I have with it is that the calls I can use to get process time are still not returning values that are granular enough. times() is returning values 21, 22, in milliseconds. clock() is returning values 21000, 22000, same granularity. getrusage() is returning values like 210002, 22001 (and somesuch), they look to have a bit better accuracy but the values look conspicuously the same. So now the problem I'm probably having is that the kernel has the information I need, I just don't know the system call that will return it.","linux,process,real-time,timing,high-resolution-clock","182554","14"
"Using Linux, how to specify which ethernet interface data is transmitted on","I'm working on a Linux based server system in which there are two network interfaces, both on the same subnet (for now, lets just say they are 172.17.32.10 & 172.17.32.11). When I send data to a host on the network, I would like to specify which interface on my server the data is transmitted on. I need to be able to switch from one interface to the other (or maybe even transmit on both) in software (static routing rules won't work for this application). I found a related question in StackOverflow that suggested using the netlink library to modify routes on the fly. This intuitively seems like it should work, but I was wondering if there were any other options to accomplish this same result.","linux,routes,networking,tcp","172905","15"
"Error installing newgem on linux","I am trying to install newgem on my linux box (sudo gem install newgem) and i am getting the following error: Building native extensions. This could take a while... ERROR: Error installing newgem: ERROR: Failed to build gem native extension. /usr/bin/ruby1.8 extconf.rb install newgem extconf.rb:1:in `require': no such file to load -- mkmf (LoadError) from extconf.rb:1 Gem files will remain installed in /usr/lib/ruby/gems/1.8/gems/RedCloth-4.0.4 for inspection. Results logged to /usr/lib/ruby/gems/1.8/gems/RedCloth-4.0.4/ext/redcloth_scan/gem_make.out What could the problem be?","ruby,linux","183578","5"
"Best approach to web service powered by a daemon","I am relatively new to web services and am wondering what the standard ""best approach"" is. Basically, the way things work is I need to have a task running the background constantly. The the web service will connect to the daemon and return with an appropriate response. Currently, the communication is over unix domain sockets (Linux is the expected server platform). Is this the ""right"" way to do this? Or is there a more proper way to have a background task that your web-server is based on?","linux,web-services","106045","2"
"Upgrade Subversion 1.4.3 to 1.5.2 on Debian (hosted account)","I'm trying to upgrade my subversion server (I have it hosted with Dreamhost) This is what I run: wget http://subversion.tigris.org/downloads/subversion-1.5.2.tar.bz2 wget http://subversion.tigris.org/downloads/subversion-deps-1.5.2.tar.bz2 tar -xjf subversion-1.5.2.tar.bz2 tar -xjf subversion-deps-1.5.2.tar.bz2 cd subversion-1.5.2 ./configure --prefix=/usr/bin --with-libs=/usr/bin/openssl --with-ssl But I'm unable to continue any further because of this error: checking for C compiler default output file name... configure: error: C compiler cannot create executables See `config.log' for more details. configure failed for neon Since I'm no expert with Linux, I'm not sure how to proceed. So the question is: what is the best way to upgrade (given the constraints of being with this hosted provider). Update: Contents of config.log can be seen here (don't know the best way to show files here at SO) Update: I seem to have been looking at the wrong config.log file. I probably should have been looking at subversion.1.5.2/neon/config.log","linux,svn,version-control,debian,dreamhost","189906","3"
"Pitch identification in Linux","Is there any free software tool or combination that allows me to identify the pitch of a recorded singing session? The idea is to display some kind of graph with the current pitch in a time line along with markers for the standard notes (C3, C#3, D, etc). I don't need pitch correction and I don't need it to be done in real time, either. I know that once there was a plugin for Rosegarden that did that, but it has gone missing.","linux,audio,pitch-tracking","159251","4"
"How can I run an OpenGL application installed on a linux machine from my windows machine?","In the spirit of being helpful, this is a problem I had and solved, so I will answer the question here. Problem I have: An application that has to be installed on on Redhat or SuSE enterprise. It has huge system requirements and requires OpenGL. It is part of a suite of tools that need to operate together on one machine. This application is used for a time intensive task in terms of man hours. I don't want to sit in the server room working on this application. So, the question came up... how do I run this application from a remote windows machine? I'll outline my solution. Feel free to comment on alternatives. This solution should work for simpler environments as well. My case is somewhat extreme.","linux,opengl,x11,system-administration,putty","106201","7"
"Graphics card memory usage in linux","What tools are available to monitor graphics card memory usage in linux?","linux,graphics","50042","4"
"Where do the Linux TCP/IP hackers 'live'?","Over the past year or so my production platform has been plagued by an odd TCP/IP issue. I've spent zillions of hours working with competent & knowledgeable sysadmins, scouring the net, reading source code, been jerked around by RH's pathetic support, and crying tears of blood! To no avail. (Google 'unkn-4' and you'll see many posts with my name all over.) Work-a-rounds are in place, so the issue is not a priority. But the geek in me really would like to understand and solve this problem. So, where can a moderately competent systems programmer go to ask detailed questions and receive detailed answers from The Lords of TCP/IP stacks? I assume that their world so close to the bare metal, their population so small, is different from my own. That, and they don't want to answer emails to ""My modem doesn't work"" so they hide in the shadows. Any pointers would be greatly appreciated.","linux,networking,tcp,kernel","50074","4"
"How to pass password to scp?","I know it is not recommended, but is it at all possible to pass the user's password to scp? I'd like to copy a file via scp as part of a batch job and the receiving server does, of course, need a password and, no, I cannot easily change that to key-based authentication.","linux,scp,io-redirection","50096","463"
"Setting per-file flags with automake","Is there a way set flags on a per-file basis with automake? In particular, if I have a c++ project and want to compile with -WAll all the files except one for which I want to disable a particular warning, what could I do? I tried something like: CXXFLAGS = -WAll ... bin_PROGRAMS = test test_SOURCES = main.cpp utility.cpp utility_o_CXXFLAGS = $(CXXFLAGS) -Wno-unused-value but it didn't work. EDITED: removed reference to automake manual, which was actually misleading (thanks to Douglas Leeder).","linux,gcc,automake","149324","8"
"How to show all shared libraries used by executables in Linux?","I'd like to know which libraries are used by executables on my system. More specifically, I'd like to rank which libraries are used the most, along with the binaries that use them. How can I do this?","linux,shared-libraries","50159","291"
"How can I simulate ext3 filesystem corruption?","I would like to simulate filesystem corruption for the purpose of testing how our embedded systems react to it and ultimately have them fail as gracefully as possible. We use different kinds of block device emulated flash storage for data which is modified often and unsuitable for storage in NAND/NOR. Since I have a pretty good idea of how often data is modified in different parts of the file tree and where sensitive data is stored. I would like to inject errors in specific areas and not just randomly. In cases of emergency we use fsck -y as a sort of last resort in order to attempt to bring the system up and report that is in a very bad state. I would very much like to cause errors which would trigger fsck to attempt repairs in order to study the effect on the systems capability to come back up. dd if=/dev/random is not precise enough for my purpose since it can't easily be used to inject controlled errors. Are there any other tools or methods which fit my needs better or do I have to invent my own?","linux,testing,filesystems,fault-tolerance,ext3","140253","17"
"Linux/X11 input library without creating a window","Is there a good library to use for gathering user input in Linux from the mouse/keyboard/joystick that doesn't force you to create a visible window to do so? SDL lets you get user input in a reasonable way, but seems to force you to create a window, which is troublesome if you have abstracted control so the control machine doesn't have to be the same as the render machine. However, if the control and render machines are the same, this results in an ugly little SDL window on top of your display. Edit To Clarify: The renderer has an output window, in its normal use case, that window is full screen, except when they are both running on the same computer, just so it is possible to give the controller focus. There can actually be multiple renderers displaying a different view of the same data on different computers all controlled by the same controller, hence the total decoupling of the input from the output (Making taking advantage of the built in X11 client/server stuff for display less useable) Also, multiple controller applications for one renderer is also possible. Communication between the controllers and renderers is via sockets.","linux,user-input,sdl","50182","7"
"How can you efficiently check the VM mapping for an address?","I am writing a tracing tool which needs to deal with the output of a a JIT, so the stack can look pretty bizarre at times. I'd like to try to apply some heuristics to addresses to determine if they are code, data or garbage. (If I'm wrong some of the time, it's no big deal; however if the process crashes, not so much.) I can cat /proc/«pid»/maps to get a list of the VM mappings for a process in Linux. Is it possible to access this information (or any subset) from inside the process without parsing that file? It'd be ideal to examine the rwx bits for an address. Essentially, I want a “read” version of mprotect(2). If I can't do this, how about determining if an access to a certain address will cause a segmentation fault? (There is already a SIGSEGV handler installed in this case and I can't easily overwrite it, or I'd just do that.)","linux,memory-management","194896","1"
"What would be Linux equivalent of GetProcessIoCounters?","Here's a link to Windows documentation. Basically I would like to get similar data, but on Linux. If not all is possible, then at least some parts.","linux,statistics,operating-system","168116","2"
"linux: getting umask of an already running process?","How can I check the umask of a program which is currently running? [update: another process, not the current process.]","linux,unix,umask","165212","33"
"Redraw screen in terminal","How do some programs edit whats being displayed on the terminal (to pick a random example, the program 'sl')? I'm thinking of the Linux terminal here, it may happen in other OS's too, I don't know. I've always thought once some text was displayed, it stayed there. How do you change it without redrawing the entire screen?","linux,terminal","77990","9"
"Do .net applications run on Linux?","Do .net applications run on linux? Are there any free/paid interop libraries available ?",".net,linux","168170","8"
"where is the Oracle Event Log located?","Where is the location of my oracle event log (on a default Linux installation)?","linux,oracle,logging","197033","16"
"What deployment directories do you use for Rails applications (deploying to a debian box)?","I wonder what's the best deployment directory for Rails apps? Some developers use directories such as /u/apps/#{appname}. Are there any advantages when using /u/apps/#{appname} instead of /var/www/#{appname} or other OS default directories? Obviously I want to pick the directory with the best security properties and the least friction for setting up the server environment. How do you deploy your Rails apps? Why are you using a specific directory? Do you think it really matters anyway?","ruby-on-rails,ruby,linux,deployment,mongrel","166370","10"
"Is gtk+ responsible for the awkward look of most linux applications?","Now, I know this is completely subjective, so please don't flame me. I've never been entirely satisfied with linux whenever I decided to install a distro like Ubuntu, Fedora etc. because of their awkward positioning and spacing of widgets. Have a look at this: Notice the awkward spacing of the text field's text. I've seen many Gnome themes that look good on the surface but it all somehow breaks down, awkward spacings, strange borders. Etc. The entire linux desktop doesn't have the visual integrity of OSX for instance, and I wonder why. If there is any example of a nice integrated Linux environment, please please please show me, I really WANT to use Linux. (and I know, there's QT, and other managers like KDE etc. I noticed the same thing, so it probably isn't GTK or Gnome alone)","linux,gtk,gnome","202706","2"
"How can I automate HTML-to-PDF conversions?","I've been using htmldoc for a while, but I've run into some fairly serious limitations. I need the end solution to work on a Linux box. I'll be calling this library/utility/application from a Perl app, so any Perl interfaces would be a bonus.","linux,perl,pdf","176476","50"
"Where do you send the kernel console on an embedded system?","I'm developing an embedded system which currently boots linux with console output on serial port 1 (using the console boot param from the boot loader). However, eventually we will be using this serial port. What is the best solution for the kernel console output? /dev/null? Can it be put on a pty somehow so that we could potentially get access to it?","linux,embedded","151687","7"
"Clone Debian/Ubuntu installation","Is there an easy way of cloning entire installed debian/ubuntu system? I want to have identical installation in terms of installed packages and as much as possible of settings. I've looked into options of aptitude, apt-get, synaptic but have found nothing.","linux,ubuntu,operating-system,debian,apt","174839","13"
"configure knotify to execute a custom command","on KDE, there's a possibility to execute a command when some event happen. for example one can execute a script when kmail receives a mail or when a akregator fetches a new feed. I want to execute the script on a way I can retrieve the mail/feed subject in my script. is there a possibility to specify the program to execute: myprogram ? possibly specify it as an argument or an environment variable.","linux,kde-plasma","179448","1"
"Server side virus scanning","I need to scan uploaded files for viruses on a Linux server, but I'm not sure how to go about it. What are my options, if any? I'm also interested in how the scanners perform when multiple users send multiple files at the same time.","linux,server-side,antivirus","152003","9"
"How should strace be used?","A colleague once told me that the last option when everything has failed to debug on Linux was to use strace. I tried to learn the science behind this strange tool, but I am not a system admin guru and I didn’t really get results. So, What is it exactly and what does it do? How and in which cases should it be used? How should the output be understood and processed? In brief, in simple words, how does this stuff work?","linux,debugging,strace","174942","299"
"shared library problems on linux","I'm trying to compile/link a very old piece of software on a linux system and I can't for some reason link with a shared library that's installed on my system. I get the following error from the linker: /usr/bin/ld: cannot find -lXaw However, the lib itself is installed. If I run ldconfig -v | grep libXaw I get (among other things) this hit: libXaw.so.7 -> libXaw7.so.7.0.0 The library and the links to it are in /usr/lib btw. So nothing special. So the library is there and ldconfig finds it. What could ld cause ld from not finding the library during link-time? As you may have already guessed I'm quite new to the shared library stuff. Any ideas?","linux,gcc,shared-libraries","195741","4"
"How does a Perl socket resolve hostnames under Linux?","I have a (from what I can tell) perfectly working Linux setup (Ubuntu 8.04) where all tools (nslookup, curl, wget, firefox, etc) are able to resolve addresses. Yet, the following code fails: $s = new IO::Socket::INET( PeerAddr => 'stackoverflow.com', PeerPort => 80, Proto => 'tcp', ); die ""Error: $!\n"" unless $s; I verified the following things: Perl is able to resolve addresses with gethostbyname (ie the code below works): my $ret = gethostbyname('stackoverflow.com'); print inet_ntoa($ret); The original source code works under Windows This is how it supposed to work (ie. it should resolve hostnames), since LWP tries to use this behavior (in fact I stumbled uppon the problem by trying to debug why LWP wasn't working for me) Running the script doesn't emit DNS requests (so it doesn't even try to resolve the name). Verified with Wireshark","linux,perl,sockets,dns","160876","3"
"system wide keyboard hook on X under linux","What would be the best approach to install a keyboard hook on Linux (X-windows) in order to trigger some application when some key-combo is pressed?? Is there a way to do this regardless of which window manager is running? The idea is to have an application being called ( or brought to foreground ) when some key is pressed in a way similar that Google Desktop does to Ctrl-Ctrl.","linux","144901","9"
"How to discard incoming packets in raw socket?","I'm writing a C/C++ application under Linux that reads data from a raw socket (for ICMP packets). Question: is there a way to discard all data that is still queued on the socket? The problem is that after sleeping for a while, there is data queued up on the socket which I'm not interested in; so it would be best to just tell the socket ""forget all data you have buffered right now"", so that if I go into a select()/recvfrom() loop then, I only get data that was received recently. Is there a better way than going into a separate poll()/recvfrom() loop first? Some socket API call maybe? Portable, even? :-)","linux,sockets,flush,raw-sockets","209305","3"
"D (and Tango) on PowerPC Linux","It's hard to search for D using Google, so I wasn't able to find a good answer: I have an old iBook G3 and I'd like to install Linux on it and use it to compile (and test) D programs written using Tango on it. Is this possible? Or hasn't anybody tried it, yet? After all the Mac port of GDC + Tango is broken in parts, too.","linux,d,powerpc,tango","152209","3"
"Best Linux distribution for running Mono","I'm a .Net developer and would like to investigate building and running our framework on Mono. If the initial project is successful I will happily invest in an OS learning curve, but right now I want to focus on getting things up and running and seeing the code working. What would be the best distribution to start with, assuming that I know very little about Linux, but am an experienced developer? How quickly (hours/days/weeks?) can I expect to achieve this? Some Feedback so far (Thanks for the answers, guys): Decided on CentOS, but this was also because this fits in with a particular implementation of the .Net code that I want to port to Mono.The only issue was that I needed to go to version 4 for an out-the-box install of Mono With some assistance I have been able to get this to a point where I am able to run compiles and start addressing the porting issues. This took a few hours - biggest learning curve is around driving Linux. 20081231: Found the following article for running mono on ubuntu: http://www.ddj.com/windows/212201484",".net,linux,mono","166744","24"
